Gene,EntrezID,UNIPROT,3250_overlap,protein_rank_3250,protein_rank_3250_rev,Concentration(ng/L),number of EXPERIMENT,Median
FUBP3,8939,Q96I24,P,1129,2122,63,19,34328396
RPE,6120,Q96AT9,P,1132,2119,130,14,68382128
PGM3,5238,O95394,P,1133,2118,220,15,63739095.88
CTPS2,56474,Q9NRF8,P,1134,2117,40,12,55547906.44
RAB5C,5878,P51148,P,1137,2114,480,37,267182462.2
EIF2AK2,5610,P19525,P,1138,2113,44,17,33172378.38
LAMTOR5,10542,O43504,P,1139,2112,150,9,83825372.29
TOM1,10043,O60784,P,1140,2111,44,18,27874467.55
TIMP2,7077,P16035,P,1141,2110,110000,11,14695154
TRAP1,10131,Q12931,P,1144,2107,1700,19,1350237022
COPS8,10920,Q99627,P,1147,2104,110,30,76173823.75
TPMT,7172,P51580,P,1148,2103,39,12,54872956.31
GLRX3,10539,O76003,P,1149,2102,350,25,40042575.13
ETF1,2107,P62495,P,1150,2101,220,29,101626908
PSMB4,5692,P28070,P,1151,2100,12000,33,227284654
LSM6,11157,P62312,P,1153,2098,30,19,70568866.25
RPL3,6122,P39023,P,1154,2097,470,39,397609319.4
EMC2,9694,Q15006,P,1155,2096,11,11,21372150.58
SGTA,6449,O43765,P,1156,2095,81,25,24708605.56
PAICS,10606,P22234,P,1160,2091,490,51,45420736.63
PSMD1,5707,Q99460,P,1162,2089,230,33,148911429.8
SRM,6723,P19623,P,1164,2087,26,21,135534034.8
VBP1,7411,P61758,P,1166,2085,15,25,22065550
USO1,8615,O60763,P,1167,2084,170,29,88782347.75
RAB34,83871,Q9BZG1,P,1168,2083,1100,12,15358146
DERA,51071,Q9Y315,P,1170,2081,320,32,118263965.8
CNPY2,10330,Q9Y2B0,P,1173,2078,220,17,32004537.87
TUBA1C,84790,Q9BQE3,P,1174,2077,160000,30,4226754146
PPM1F,9647,P49593,P,1177,2074,510,12,20397521
GLA,2717,P06280,P,1178,2073,1300,21,28772984.83
UCHL3,7347,P15374,P,1179,2072,700,29,27705273
CPD,1362,O75976,P,1182,2069,1700,26,17453514.5
PICALM,8301,Q13492,P,1183,2068,40,39,23259304.14
GNG5,2787,P63218,P,1184,2067,37,33,52359528
UBA7,7318,P41226,P,1185,2066,370,11,50903576.6
CPNE1,8904,Q99829,P,1186,2065,300,27,70803619.79
PPP1CC,5501,P36873,P,1188,2063,2800,38,349703444.5
ARHGAP17,55114,Q68EM7,P,1189,2062,21,6,29313762.04
TWF1,5756,Q12792,P,1190,2061,75,24,53434029.35
HSPE1,3336,P61604,P,1192,2059,2500,21,53414615.5
TAF15,8148,Q92804,P,1193,2058,44,12,46820582.81
MAN2B1,4125,O00754,P,1194,2057,3200,18,7920580
OSTF1,26578,Q92882,P,1196,2055,580,19,55531804.16
ITPA,3704,Q9BY32,P,1200,2051,120,15,94569000
ABCE1,6059,P61221,P,1201,2050,380,35,86766497
GLG1,2734,Q92896,P,1204,2047,2100,35,31983945.75
NUCB1,4924,Q02818,P,1208,2043,27000,18,40537531.67
GTF2I,2969,P78347,P,1210,2041,55,14,31460367.25
RCN1,5954,Q15293,P,1211,2040,9400,19,25216533.73
ADI1,55256,Q9BV57,P,1212,2039,130,11,50830875.67
GRN,2896,P28799,P,1216,2035,110000,15,62720867.64
RRBP1,6238,Q9P2E9,P,1219,2032,320,16,22357570.63
CDC42BPB,9578,Q9Y5S2,P,1220,2031,12,30,20395061.47
SRSF3,6428,P84103,P,1223,2028,1600,29,190211997.5
RPS16,6217,P62249,P,1227,2024,66,37,468573946.6
CNN2,1265,Q99439,P,1228,2023,8400,24,66278907.75
PSMD2,5708,Q13200,P,1232,2019,430,38,121510832.5
PPIL1,51645,Q9Y3C6,P,1233,2018,21,20,51046883
VAMP8,8673,Q9BV40,P,1234,2017,220,19,68409777.88
ACLY,47,P53396,P,1236,2015,3100,42,245658921.5
PFDN2,5202,Q9UHV9,P,1237,2014,85,26,24199294.75
RUVBL1,8607,Q9Y265,P,1239,2012,81,38,193278599.8
WDR77,79084,Q9BQA1,P,1242,2009,18,30,76831412.09
MRC2,9902,Q9UBG0,P,1243,2008,36000,13,54869606.89
GSPT1,2935,P15170,P,1246,2005,210,19,116072576.3
EIF4A1,1973,P60842,P,1247,2004,4100,38,477970099.3
TPD52L2,7165,O43399,P,1248,2003,1100,29,37982735
MFAP2,4237,P55001,P,1249,2002,210,14,121145675.9
TARDBP,23435,Q13148,P,1250,2001,29,28,149599815.5
GSPT2,23708,Q8IYD1,P,1251,2000,130,17,131353628.1
EPHB4,2050,P54760,P,1252,1999,1400,33,60608271.02
DUSP23,54935,Q9BVJ7,P,1254,1997,22,17,57984929.69
KARS1,3735,Q15046,P,1255,1996,82,29,87545549.35
RBBP4,5928,Q09028,P,1257,1994,150,32,131653868
TFRC,7037,P02786,P,1258,1993,38000,42,90944210.99
TAOK3,51347,Q9H2K8,P,1259,1992,520,17,24305957
ATP6V1H,51606,Q9UI12,P,1261,1990,8.3,27,51918368.08
PSMB10,5699,P40306,P,1262,1989,1400,12,148242644.8
TNKS1BP1,85456,Q9C0C2,P,1263,1988,180,21,16900914.06
RPS9,6203,P46781,P,1264,1987,64,36,245792904.5
COPE,11316,O14579,P,1265,1986,66,28,166180474.3
FUBP1,8880,Q96AE4,P,1266,1985,300,17,31387006.25
XPNPEP1,7511,Q9NQW7,P,1267,1984,810,20,81242986.42
STK39,27347,Q9UEW8,P,1268,1983,80,15,49143668.21
CSNK2A2,1459,P19784,P,1270,1981,92,23,38855808.63
NAGA,4668,P17050,P,1272,1979,2200,13,29367944.75
CHMP5,51510,Q9NZZ3,P,1274,1977,22,33,38213522.75
KHDRBS1,10657,Q07666,P,1277,1974,110,16,218400379.3
SYK,6850,P43405,P,1278,1973,290,14,61357906.83
ELAVL1,1994,Q15717,P,1280,1971,230,15,74692839.38
EIF3E,3646,P60228,P,1282,1969,21,30,129023719.8
TGOLN2,10618,O43493,P,1283,1968,12000,17,23003830.43
PSMD7,5713,P51665,P,1287,1964,190,26,167062765
SFPQ,6421,P23246,P,1288,1963,640,25,289651854.3
TBC1D10B,26000,Q4KMP7,P,1290,1961,250,17,13597097.85
CTSL,1514,P07711,P,1291,1960,17000,7,38318560.13
EIF3J,8669,O75822,P,1292,1959,280,16,28032693.91
TMOD3,29766,Q9NYL9,P,1294,1957,1200,26,62272146.75
RPS10,6204,P46783,P,1302,1949,130,35,200633096.2
VARS1,7407,P26640,P,1303,1948,110,30,192730241.6
GOLIM4,27333,O00461,P,1304,1947,1000,19,20086680.09
DAB2,1601,P98082,P,1311,1940,130,14,19306536.13
APPL1,26060,Q9UKG1,P,1312,1939,10,11,27073333.25
SH3GL1,6455,Q99961,P,1314,1937,390,24,58989415.26
PCOLCE,5118,Q15113,P,1315,1936,1300000,15,133081566.5
DDX39B,7919,Q13838,P,1316,1935,270,33,246992703.2
AP2A1,160,O95782,P,1317,1934,61,39,109006411.2
U2AF2,11338,P26368,P,1319,1932,73,21,108151187.5
SCFD1,23256,Q8WVM8,P,1320,1931,120,24,67413306.58
FUCA2,2519,Q9BTY2,P,1322,1929,56000,23,12003263
RPL10,6134,P27635,P,1323,1928,520,27,210802141.9
PAIP1,10605,Q9H074,P,1324,1927,60,10,30520286.28
PDIA5,10954,Q14554,P,1325,1926,4700,10,14483005.5
TRIP6,7205,Q15654,P,1327,1924,21,20,51766845.25
INPP5D,3635,Q92835,P,1329,1922,4400,11,25182946.13
RPS19,6223,P39019,P,1330,1921,260,32,64025542.78
SNRPF,6636,P62306,P,1331,1920,47,13,62539078.9
SYNCRIP,10492,O60506,P,1333,1918,1300,33,184792630.8
PXDN,7837,Q92626,P,1334,1917,9100,18,62068761.81
SF3A1,10291,Q15459,P,1338,1913,87,19,30986662
RAB10,10890,P61026,P,1339,1912,4300,37,721241512.4
UTRN,7402,P46939,P,1340,1911,4.2,26,15413979.38
SERBP1,26135,Q8NC51,P,1342,1909,810,24,18663265.19
NRP2,8828,O60462,P,1345,1906,29000,13,46261033.42
PPAT,5471,Q06203,P,1346,1905,11,20,29905544.38
GNL1,2794,P36915,P,1347,1904,11,21,38553842.42
RUVBL2,10856,Q9Y230,P,1349,1902,53,30,185564022.7
POFUT1,23509,Q9H488,P,1350,1901,60,16,5013835.734
CHMP4B,128866,Q9H444,P,1351,1900,53,35,47777354.53
PPP1CB,5500,P62140,P,1352,1899,3800,30,349703444.5
MYO1F,4542,O00160,P,1353,1898,46,19,34434328.63
EIF2S1,1965,P05198,P,1356,1895,210,33,129447786.7
GOLM2,113201,Q6P4E1,P,1357,1894,1200,14,10270358.56
ATXN10,25814,Q9UBB4,P,1359,1892,40,18,24598656.38
FAM3C,10447,Q92520,P,1363,1888,48000,26,47549901
PDGFRB,5159,P09619,P,1364,1887,39000,9,152584224.6
FAM120A,23196,Q9NZB2,P,1365,1886,12,25,59992074.33
VASP,7408,P50552,P,1369,1882,32000,35,106964657.7
PSMD3,5709,O43242,P,1370,1881,3100,40,173044649.9
ELOB,6923,Q15370,P,1373,1878,82,21,110768948.7
VPS26A,9559,O75436,P,1374,1877,41,22,40770089.75
ADA,100,P00813,P,1375,1876,470,12,25993367.27
NAE1,8883,Q13564,P,1377,1874,100,17,65521639
DPP3,10072,Q9NY33,P,1378,1873,3200,32,52214434.17
PNP,4860,P00491,P,1379,1872,58000,26,56030200.5
LXN,56925,Q9BS40,P,1380,1871,4700,10,91447947.71
MOGS,7841,Q13724,P,1381,1870,1500,18,13356958.67
PSTPIP2,9050,Q9H939,P,1382,1869,1500,8,10894806.56
PRRC1,133619,Q96M27,P,1383,1868,170,15,22324515.69
MAP1A,4130,P78559,P,1384,1867,55,1,36662296.75
PSMD4,5710,P55036,P,1387,1864,69,20,66033313
CYB5B,80777,O43169,P,1388,1863,99,15,44252659.67
EIF3G,8666,O75821,P,1389,1862,64,24,38350524
SRRM1,10250,Q8IYB3,P,1390,1861,20,19,15600375.75
HSP90AB1,3326,P08238,P,1392,1859,63000,54,1571585429
GTPBP1,9567,O00178,P,1393,1858,64,16,17666677.5
FERMT3,83706,Q86UX7,P,1394,1857,160000,20,95331879
AHSA1,10598,O95433,P,1396,1855,120,26,25255545.5
AHNAK2,113146,Q8IVF2,P,1397,1854,40,19,26237928.88
PDIA4,9601,P13667,P,1398,1853,15000,33,57492709.29
ILF3,3609,Q12906,P,1402,1849,1600,17,98644771.92
ATAD3A,55210,Q9NVI7,P,1404,1847,27,21,12158888.49
STK10,6793,O94804,P,1407,1844,16,21,15603236.29
UROD,7389,P06132,P,1408,1843,2600,18,43921067
ARPC1B,10095,O15143,P,1413,1838,13000,26,194902643
QARS1,5859,P47897,P,1417,1834,58,35,153517371.7
CSDE1,7812,O75534,P,1419,1832,100,14,71469998.96
RPS4X,6191,P62701,P,1420,1831,980,35,336227785.2
DYNC1LI2,1783,O43237,P,1422,1829,21,21,66316384.08
DNAJA1,3301,P31689,P,1423,1828,160,36,119948145.4
FARSA,2193,Q9Y285,P,1425,1826,55,30,111281852.7
STAT3,6774,P40763,P,1426,1825,55,22,71205695.25
TMED2,10959,Q15363,P,1427,1824,82,14,69820673.16
PGP,283871,A6NDG6,P,1429,1822,250,15,34057357
TMX3,54495,Q96JJ7,P,1430,1821,36,14,13657500.21
CSPG4,1464,Q6UVK1,P,1432,1819,48000,23,49491104.25
ACOX1,51,Q15067,P,1433,1818,96,11,7972163.063
LMAN2,10960,Q12907,P,1434,1817,88000,22,56717106.13
HNRNPF,3185,P52597,P,1436,1815,2500,32,62337762.5
PSMC2,5701,P35998,P,1437,1814,190,39,172336471.4
PSMC4,5704,P43686,P,1438,1813,200,40,171824282.9
ARHGAP18,93663,Q8N392,P,1439,1812,1900,23,21110131.88
CHMP4A,29082,Q9BY43,P,1443,1808,1400,29,20235285.73
GORASP2,26003,Q9H8Y8,P,1444,1807,830,12,55200881.66
EIF3I,8668,Q13347,P,1445,1806,70,33,151810090
EIF4H,7458,Q15056,P,1447,1804,750,23,35429389
SAE1,10055,Q9UBE0,P,1449,1802,37,12,50534073.81
RAB1A,5861,P62820,P,1450,1801,3000,36,968800571.7
BRK1,55845,Q8WUW1,P,1452,1799,170,14,27734271.75
PLXNB2,23654,O15031,P,1453,1798,78000,32,54281954.25
EEF1G,1937,P26641,P,1454,1797,2500,42,448145685.1
SIAE,54414,Q9HAT2,P,1457,1794,2200,13,61565012.63
B4GALT1,2683,P15291,P,1459,1792,97000,12,69446134.28
LYPLA2,11313,O95372,P,1460,1791,110,25,119581226.5
PLIN3,10226,O60664,P,1461,1790,11000,26,18445801.25
HLA-E,3133,P13747,P,1462,1789,100000,22,209320842.7
EIF6,3692,P56537,P,1463,1788,260,25,150244362.1
HNRNPH2,3188,P55795,P,1464,1787,640,26,222012526.3
YKT6,10652,O15498,P,1465,1786,23,28,19196934.35
FKBP4,2288,Q02790,P,1466,1785,480,41,97665783.63
SRP14,6727,P37108,P,1467,1784,440,31,142917752
ITGA2,3673,P17301,P,1478,1773,43000,34,117643467.3
PCBP2,5094,Q15366,P,1479,1772,970,33,310752074.1
EIF4E,1977,P06730,P,1481,1770,450,40,145384045.8
DPYD,1806,Q12882,P,1482,1769,1600,2,21381035
RPL4,6124,P36578,P,1483,1768,1300,34,222828557.5
PLBD2,196463,Q8NHP8,P,1485,1766,820,12,16221240.5
SEC31A,22872,O94979,P,1487,1764,40,17,121707168.8
PSMD5,5711,Q16401,P,1489,1762,250,35,102954025.8
NME1,4830,P15531,P,1490,1761,21000,26,249315363.1
HARS1,3035,P12081,P,1491,1760,190,38,32473672.88
VWF,7450,P04275,P,1492,1759,5600000,13,132266459.4
RALY,22913,Q9UKM9,P,1494,1757,9.4,24,61319688.56
SND1,27044,Q7KZF4,P,1495,1756,1800,36,166867450
EIF3L,51386,Q9Y262,P,1496,1755,72,44,158140834.1
GALE,2582,Q14376,P,1498,1753,16,20,57194145.7
DYNC1I2,1781,Q13409,P,1499,1752,82,23,109384124.2
ERP44,23071,Q9BS26,P,1500,1751,5300,33,55419814.34
NCKAP1L,3071,P55160,P,1501,1750,33,17,35960140.38
FCGRT,2217,P55899,P,1502,1749,24000,2,30437932.06
S100A16,140576,Q96FQ6,P,1503,1748,190,28,85533943.5
SNAP23,8773,O00161,P,1504,1747,3900,42,53624079.04
FKBP15,23307,Q5T1M5,P,1505,1746,9.8,10,13652352
CHORDC1,26973,Q9UHD1,P,1508,1743,160,21,32415705.75
OAF,220323,Q86UD1,P,1513,1738,69000,15,22724892.58
STMN1,3925,P16949,P,1515,1736,320,21,72635855.13
RPS12,6206,P25398,P,1516,1735,450,29,221257439.1
DCPS,28960,Q96C86,P,1517,1734,1200,11,51238573
ANP32E,81611,Q9BTT0,P,1520,1731,280,18,86767942.38
CLSTN1,22883,O94985,P,1521,1730,86000,35,42750297.93
ATP5MF,9551,P56134,P,1523,1728,60,16,34935346.44
NUDT21,11051,O43809,P,1524,1727,12,18,41859859.72
ITM2B,9445,Q9Y287,P,1525,1726,5800,20,25340896.18
PYCARD,29108,Q9ULZ3,P,1526,1725,640,14,10229014.5
ARCN1,372,P48444,P,1527,1724,140,28,169417364.5
ATG3,64422,Q9NT62,P,1529,1722,140,18,68906602.25
PAFAH1B3,5050,Q15102,P,1530,1721,290,23,86650658.17
SYNE1,23345,Q8NF91,P,1531,1720,72,2,22407056.94
DNAJA3,9093,Q96EY1,P,1532,1719,16,12,9936590.938
EPS8,2059,Q12929,P,1541,1710,17,34,32784199.75
APPL2,55198,Q8NEU8,P,1544,1707,45,5,22152166
ACOT7,11332,O00154,P,1546,1705,26,33,85139671.79
GMPPA,29926,Q96IJ6,P,1549,1702,51,32,67423200.56
CRK,1398,P46108,P,1550,1701,400,30,83470652.65
CNN3,1266,Q15417,P,1552,1699,660,24,45551224.5
RPL11,6135,P62913,P,1553,1698,420,34,272509749.6
UNC45A,55898,Q9H3U1,P,1554,1697,17,18,37839141.71
INF2,64423,Q27J81,P,1556,1695,3000,12,37243030.88
EIF2B1,1967,Q14232,P,1557,1694,16,13,62507725.57
PDCD5,9141,O14737,P,1558,1693,47,22,83191247
CTSC,1075,P53634,P,1559,1692,19000,23,98749633.81
PLAA,9373,Q9Y263,P,1561,1690,12000,30,57267452.96
ITGAV,3685,P06756,P,1564,1687,2000,35,87549600.23
DDRGK1,65992,Q96HY6,P,1565,1686,24,15,14830841
RTCA,8634,O00442,P,1568,1683,38,20,81490153.51
LGMN,5641,Q99538,P,1569,1682,2000,12,60833504.5
ICAM1,3383,P05362,P,1573,1678,2200000,33,97475995.79
EIF3H,8667,O15372,P,1574,1677,38,32,104517447.3
GRPEL1,80273,Q9HAV7,P,1575,1676,23,15,15912915.75
COPS5,10987,Q92905,P,1577,1674,37,17,73544690.41
LRPAP1,4043,P30533,P,1581,1670,810,10,15694059.01
DYNC1H1,1778,Q14204,P,1582,1669,490,44,314637516.7
EIF3B,8662,P55884,P,1583,1668,180,37,112556849.3
CNBP,7555,P62633,P,1584,1667,160,18,35063014.56
HNRNPA0,10949,Q13151,P,1586,1665,150,20,103680369.1
RPS2,6187,P15880,P,1589,1662,320,33,432495626.7
TNS3,64759,Q68CZ2,P,1590,1661,8.1,15,60155476.79
EIF3A,8661,Q14152,P,1591,1660,110,27,205691980.5
PDCD10,11235,Q9BUL8,P,1592,1659,190,31,34764568.86
ATP6V1D,51382,Q9Y5K8,P,1593,1658,19,17,71786006
CSNK2B,1460,P67870,P,1594,1657,83,28,79743404.88
NCKAP1,10787,Q9Y2A7,P,1595,1656,60,31,61564779.33
EPS15L1,58513,Q9UBC2,P,1597,1654,110,16,27236541
CTSS,1520,P25774,P,1604,1647,23000,15,19669684.16
TMPO,7112,P42166,P,1607,1644,190,29,21194699.1
MPI,4351,P34949,P,1608,1643,350,15,32501315.75
SNRPD2,6633,P62316,P,1610,1641,76,30,68381203
ITGB4,3691,P16144,P,1611,1640,980,33,97142477.44
TRA2B,6434,P62995,P,1612,1639,62,24,50242844.99
RPL7,6129,P18124,P,1615,1636,380,40,238653078.2
IDI1,3422,Q13907,P,1619,1632,28,30,32665583.01
SRP72,6731,O76094,P,1620,1631,23,23,88929537.1
TPP2,7174,P29144,P,1621,1630,280,39,123097198.4
STAM,8027,Q92783,P,1622,1629,82,33,20672064
STAMBP,10617,O95630,P,1623,1628,18,22,28389445
AARS1,16,P49588,P,1624,1627,620,32,87678900.75
NCL,4691,P19338,P,1626,1625,1400,38,68588009.21
DNM2,1785,P50570,P,1627,1624,230,35,89120784.75
PBDC1,51260,Q9BVG4,P,1628,1623,14,24,60274717.09
MAN2A1,4124,Q16706,P,1629,1622,110000,19,27703716.93
PAK2,5062,Q13177,P,1632,1619,1700,24,39238113.81
MANF,7873,P55145,P,1634,1617,7500,17,6096786.5
GMFB,2764,P60983,P,1636,1615,240,19,56124365.31
EFHD2,79180,Q96C19,P,1638,1613,220,31,25080519.63
MTCH2,23788,Q9Y6C9,P,1639,1612,14,9,9058197.664
SDSL,113675,Q96GA7,P,1640,1611,48,14,22647694
PRKCD,5580,Q05655,P,1641,1610,30,17,34287930
SH3GLB1,51100,Q9Y371,P,1642,1609,28,22,30515396.67
ACAA1,30,P09110,P,1643,1608,4700,20,14969328.47
ARHGAP1,392,Q07960,P,1644,1607,11000,21,73076134.67
SNX3,8724,O60493,P,1645,1606,270,15,65568744.5
COX7C,1350,P15954,P,1647,1604,39,16,20135467.81
COPS3,8533,Q9UNS2,P,1649,1602,38,27,73452706.44
RPS18,6222,P62269,P,1650,1601,120,41,275067415.6
NUDT5,11164,Q9UKK9,P,1652,1599,1500,22,49947139
ILF2,3608,Q12905,P,1653,1598,3400,31,156601413.6
RPS17,6218,P08708,P,1654,1597,340,39,99176683.5
OAS3,4940,Q9Y6K5,P,1658,1593,21,16,66410902
ACACA,31,Q13085,P,1659,1592,110,21,30386297.75
AIP,9049,O00170,P,1662,1589,13,14,15383150.75
BROX,148362,Q5VW32,P,1663,1588,270,43,57181817.5
ANP32B,10541,Q92688,P,1664,1587,570,17,90541975.75
NIF3L1,60491,Q9GZT8,P,1666,1585,9800,13,29073111.73
SEC13,6396,P55735,P,1667,1584,35,19,156372995.8
RPRD1B,58490,Q9NQG5,P,1668,1583,28,17,9515470.188
P4HB,5034,P07237,P,1669,1582,110000,41,133363472
UBA3,9039,Q8TBC4,P,1670,1581,35,13,89534077.13
MAPK1,5594,P28482,P,1673,1578,140,29,182897442.3
AGFG1,3267,P52594,P,1676,1575,120,17,24403505.94
BSG,682,P35613,P,1678,1573,340,38,147908728.8
PSMC6,5706,P62333,P,1679,1572,300,25,152788623.5
GOLM1,51280,Q8NBJ4,P,1680,1571,81000,11,24000211.25
XYLB,9942,O75191,P,1681,1570,12,7,40760920.38
IMPDH2,3615,P12268,P,1682,1569,340,40,72422588.17
AP2A2,161,O94973,P,1683,1568,10000,35,111317268.3
ENOPH1,58478,Q9UHY7,P,1684,1567,240,21,14045010.44
SNX12,29934,Q9UMY4,P,1685,1566,89,17,49256890.75
ACSL3,2181,O95573,P,1686,1565,37,29,32452662.75
CLINT1,9685,Q14677,P,1687,1564,540,20,43898236
TMX1,81542,Q9H3N1,P,1688,1563,26,16,47358938.13
MTDH,92140,Q86UE4,P,1689,1562,300,10,8509486
RTRAF,51637,Q9Y224,P,1694,1557,48,23,41358476.17
ENDOD1,23052,O94919,P,1696,1555,5200,16,41886665.59
SRSF1,6426,Q07955,P,1697,1554,980,33,54193697.32
USP15,9958,Q9Y4E8,P,1701,1550,300,10,20978226.69
COPS4,51138,Q9BT78,P,1702,1549,100,33,64103945.75
RPN1,6184,P04843,P,1704,1547,730,29,63330309.23
CD14,929,P08571,P,1706,1545,10000000,10,27367066.91
PEA15,8682,Q15121,P,1708,1543,300,9,22829997.25
ZYX,7791,Q15942,P,1709,1542,180000,23,22039192.47
LAMB1,3912,P07942,P,1710,1541,250000,37,50078800.76
MAT2B,27430,Q9NZL9,P,1711,1540,1100,17,51747510.33
ATP1A1,476,P05023,P,1712,1539,420,42,478153399.7
OSBP,5007,P22059,P,1715,1536,70,20,42564959.54
LMCD1,29995,Q9NZU5,P,1717,1534,6.6,3,100852773.2
RAD23A,5886,P54725,P,1718,1533,3400,20,39026348.74
PMPCB,9512,O75439,P,1719,1532,19,15,48054482
RPS15A,6210,P62244,P,1720,1531,210,32,370134133.9
MATR3,9782,P43243,P,1721,1530,260,24,154303538.7
CCDC6,8030,Q16204,P,1722,1529,12,14,17672636.5
PSMC1,5700,P62191,P,1725,1526,110,25,189188839
FAS,355,P25445,P,1727,1524,420,26,17416653.31
CTSA,5476,P10619,P,1728,1523,28000,26,35643504.59
CACYBP,27101,Q9HB71,P,1730,1521,560,29,32198858.66
TMED4,222068,Q7Z7H5,P,1731,1520,24,21,52192648.29
RPL18A,6142,Q02543,P,1733,1518,44,31,232243015.9
CNPY3,10695,Q9BT09,P,1734,1517,4100,15,6990144.685
DOCK2,1794,Q92608,P,1735,1516,46,13,33276239.33
ELOC,6921,Q15369,P,1737,1514,140,23,112237044.5
FLII,2314,Q13045,P,1739,1512,150,34,62317968.79
CCT6A,908,P40227,P,1742,1509,3600,40,222425971.5
AP1B1,162,Q10567,P,1744,1507,660,31,144312698
CHMP2A,27243,O43633,P,1748,1503,230,42,37347167.69
CCT3,7203,P49368,P,1749,1502,1300,41,365780192.7
FARSB,10056,Q9NSD9,P,1753,1498,28,26,168955504.4
RPL21,6144,P46778,P,1754,1497,34,37,240178884.6
DNM1L,10059,O00429,P,1755,1496,2000,31,75257255.21
CUTA,51596,O60888,P,1756,1495,26000,19,6025676.125
POTEF,728378,A5A3E0,P,1757,1494,1900000,17,11629930090
RPA1,6117,P27694,P,1758,1493,82,22,142689033.5
LSP1,4046,P33241,P,1761,1490,1600,7,18641790.51
ARPC5,10092,O15511,P,1762,1489,3300,18,103022538.9
LNPK,80856,Q9C0E8,P,1763,1488,15,4,22675403.13
SAR1B,51128,Q9Y6B6,P,1764,1487,430,8,66466321.5
PON2,5445,Q15165,P,1765,1486,160,12,24997696.75
COPS2,9318,P61201,P,1766,1485,190,24,62390789
PAPSS1,9061,O43252,P,1767,1484,13,23,53391456.72
NUCB2,4925,P80303,P,1768,1483,690,19,22057285.63
RPL15,6138,P61313,P,1769,1482,290,42,298937347.9
EHD4,30844,Q9H223,P,1771,1480,440,36,99837664.17
IGFALS,3483,P35858,P,1772,1479,26000000,12,220715741.8
SORL1,6653,Q92673,P,1773,1478,79,20,16794408.5
MVP,9961,Q14764,P,1774,1477,110,29,787917178.7
SORT1,6272,Q99523,P,1776,1475,110,16,65926558.64
EEF1A1,1915,P68104,P,1778,1473,82000,43,3778801433
TAX1BP3,30851,O14907,P,1779,1472,120,19,67478228
PCBP1,5093,Q15365,P,1780,1471,1600,35,303518893.1
SNRPE,6635,P62304,P,1781,1470,34,18,98945903.56
PMVK,10654,Q15126,P,1782,1469,15,19,72328461.08
RPL5,6125,P46777,P,1784,1467,430,28,331255523.5
RPS27A,6233,P62979,P,1785,1466,230000,50,1343682578
SDCBP,6386,O00560,P,1786,1465,1300,49,254863477.7
LCP1,3936,P13796,P,1787,1464,1800000,27,57039886.69
GGT5,2687,P36269,P,1788,1463,22000,10,61881741.84
TIMM13,26517,Q9Y5L4,P,1789,1462,160,14,11194504.25
PPP3CA,5530,Q08209,P,1790,1461,94,29,35781385.75
SQSTM1,8878,Q13501,P,1791,1460,81,32,39566358.64
DYNLL1,8655,P63167,P,1793,1458,890,21,320231045.6
RPL30,6156,P62888,P,1794,1457,310,37,356959945.3
ZZEF1,23140,O43149,P,1796,1455,1100,20,28861311.25
PLEC,5339,Q15149,P,1797,1454,7400,47,174798248.1
SSB,6741,P05455,P,1798,1453,93,28,126159739.6
TPD52,7163,P55327,P,1799,1452,310,24,47621721.28
UBE2O,63893,Q9C0C9,P,1800,1451,220,20,29184247.08
GPD2,2820,P43304,P,1801,1450,620,9,20913760.16
PTRHD1,391356,Q6GMV3,P,1803,1448,100,10,29456610.5
IAH1,285148,Q2TAA2,P,1805,1446,240,13,14742866.56
COL4A2,1284,P08572,P,1807,1444,2700,22,29222970.03
DNAJB1,3337,P25685,P,1809,1442,23,25,45191297.95
SMC3,9126,Q9UQE7,P,1810,1441,630,28,22678777.5
GET3,439,O43681,P,1812,1439,37,21,65641211.5
RPN2,6185,P04844,P,1813,1438,1300,18,45121239.81
HNRNPUL2,221092,Q1KMD3,P,1815,1436,88,18,204539536.6
PSMA7,5688,O14818,P,1816,1435,22000,45,354625189.7
ACP1,52,P24666,P,1817,1434,2000,31,78139618.14
MCFD2,90411,Q8NI22,P,1818,1433,1200,11,36055827.25
PAK1,5058,Q13153,P,1819,1432,560,20,27376334.44
PLCB3,5331,Q01970,P,1820,1431,210,34,14193344.59
NCS1,23413,P62166,P,1822,1429,10,13,13705327.67
PPM1B,5495,O75688,P,1823,1428,75,10,5405268.688
SVIL,6840,O95425,P,1825,1426,210,9,40015075.34
PSMA6,5687,P60900,P,1826,1425,18000,43,341892563.3
SWAP70,23075,Q9UH65,P,1829,1422,21,13,35781267
ATP1B3,483,P54709,P,1830,1421,33,35,80224181.19
IRGQ,126298,Q8WZA9,P,1831,1420,45,6,4381095.375
DDB1,1642,Q16531,P,1832,1419,440,27,52805938.85
COL16A1,1307,Q07092,P,1835,1416,960,11,2450049.75
RPS3A,6189,P61247,P,1836,1415,300,45,345075481
FAM234A,83986,Q9H0X4,P,1838,1413,5300,21,25976159.94
RAP1GDS1,5910,P52306,P,1839,1412,62,20,20720431.97
ENAH,55740,Q8N8S7,P,1840,1411,15,21,38225254
EML4,27436,Q9HC35,P,1841,1410,25,20,178098548.3
PRPSAP2,5636,O60256,P,1842,1409,84,19,38834564
SRC,6714,P12931,P,1843,1408,3200,39,85175241.23
GBE1,2632,Q04446,P,1844,1407,6500,19,55882108.9
