EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
10539	GLRX3	O76003	P	350	40042575.13
5738	PTGFRN	Q9P2B2	P	340	177330425.5
51109	RDH11	Q8TC12	P	340	18504925.94
682	BSG	P35613	P	340	147908728.8
1975	EIF4B	P23588	P	340	23474242.61
3615	IMPDH2	P12268	P	340	72422588.17
6218	RPS17	P08708	P	340	99176683.5
1315	COPB1	P53618	P	330	227916378.7
328	APEX1	P27695	P	330	220854488.5
1511	CTSG	P08311	P	330	121618476.1
2990	GUSB	P08236	P	330	33695294.88
10434	LYPLA1	O75608	P	330	209232297.7
51071	DERA	Q9Y315	P	320	118263965.8
6238	RRBP1	Q9P2E9	P	320	22357570.63
54987	CZIB	Q9NWV4	P	320	23546596.5
10342	TFG	Q92734	P	320	41477197.16
10672	GNA13	Q14344	P	320	532668741.8
6194	RPS6	P62753	P	320	213644198.4
5631	PRPS1	P60891	P	320	84125808.25
1434	CSE1L	P55060	P	320	129784612.3
6385	SDC4	P31431	P	320	41527212.91
10105	PPIF	P30405	P	320	83395004.29
566	AZU1	P20160	P	320	377968347.4
3925	STMN1	P16949	P	320	72635855.13
6187	RPS2	P15880	P	320	432495626.7
6631	SNRPC	P09234	P	320	48431400.5
26155	NOC2L	Q9Y3T9	P	310	17470079.25
6156	RPL30	P62888	P	310	356959945.3
382	ARF6	P62330	P	310	73972838.38
7163	TPD52	P55327	P	310	47621721.28
3612	IMPA1	P29218	P	310	24113745.5
526	ATP6V1B2	P21281	P	310	58841412.04
3416	IDE	P14735	P	310	21479604.25
126393	HSPB6	O14558	P	310	81442601.22
9958	USP15	Q9Y4E8	P	300	20978226.69
8904	CPNE1	Q99829	P	300	70803619.79
8801	SUCLG2	Q96I99	P	300	33218529.06
51540	SCLY	Q96I15	P	300	50953492
8880	FUBP1	Q96AE4	P	300	31387006.25
92140	MTDH	Q86UE4	P	300	8509486
8682	PEA15	Q15121	P	300	22829997.25
6868	ADAM17	P78536	P	300	21872414.56
5706	PSMC6	P62333	P	300	152788623.5
6189	RPS3A	P61247	P	300	345075481
2618	GART	P22102	P	300	115120455.2
5763	PTMS	P20962	P	300	28733348.38
6285	S100B	P04271	P	300	272253789.3
9943	OXSR1	O95747	P	300	54618175.13
3796	KIF2A	O00139	P	300	9186205.5
54344	DPM3	Q9P2X0	P	290	44138041.25
50865	HEBP1	Q9NRV9	P	290	57216500.75
3028	HSD17B10	Q99714	P	290	31339564.52
5050	PAFAH1B3	Q15102	P	290	86650658.17
6141	RPL18	Q07020	P	290	294812401.3
6634	SNRPD3	P62318	P	290	54306527.25
6202	RPS8	P62241	P	290	255903883.1
6138	RPL15	P61313	P	290	298937347.9
6850	SYK	P43405	P	290	61357906.83
310	ANXA7	P20073	P	290	171639270
